Country,State,City,Lat,Log
Philippines,Manila,Malate,14.5642,120.9913
Japan,Okinawa,Ginowan,26.2817,127.7783
United Kingdom,Wakefield,Wakefield,53.6825,-1.4975
Japan,Yamagata,Sakata,38.9145,139.8364
United States,Washington,Federal Way,47.3091,-122.3358
Saudi Arabia,‘Asīr,Khamīs Mushayţ,18.3,42.7333
Algeria,Blida,Blida,36.4686,2.8319
Philippines,Camarines Sur,Pili,13.5542,123.2753
Canada,Ontario,Pickering,43.8354,-79.089
Pakistan,Punjab,Hasilpur,29.6917,72.5453
France,Hauts-de-France,Tourcoing,50.7239,3.1612
Sri Lanka,Eastern,Trincomalee,8.5667,81.2333
Bolivia,El Beni,Riberalta,-11.0128,-66.0572
Morocco,Oriental,Berkane,34.9167,-2.3167
Ukraine,Luhanska Oblast,Sievierodonetsk,48.9481,38.4933
Argentina,Buenos Aires,Morón,-34.65,-58.6167
United States,North Dakota,Bismarck,46.8143,-100.7694
Uganda,Lira,Lira,2.2472,32.9
India,Nāgāland,Kohīma,25.67,94.1
Cambodia,Banteay Meanchey,Sisophon,13.5839,102.9736
South Africa,Western Cape,Mossel Bay,-34.1833,22.1333
South Africa,Gauteng,Vereeniging,-26.6736,27.9319
Iran,Āz̄arbāyjān-e Sharqī,Mīāneh,37.4233,47.7136
China,Guangxi,Heshan,23.8,108.8833
Cambodia,Banteay Meanchey,Paoy Paet,13.65,102.5667
Kenya,Nyeri,Nyeri,-0.4167,36.95
Russia,Tatarstan,Zelënodol’sk,55.85,48.5167
Argentina,Buenos Aires,Burzaco,-34.8167,-58.3667
Pakistan,Punjab,Uch Sharif,29.2333,71.0667
United States,Florida,Boca Raton,26.3752,-80.108
Nigeria,Niger,Kontagora,10.403,5.473
Germany,Mecklenburg-Western Pomerania,Schwerin,53.6333,11.4167
Guatemala,Alta Verapaz,Senahú,15.4164,-89.8203
India,Gujarāt,Khambhāt,22.3,72.62
United States,Texas,New Braunfels,29.6994,-98.1148
Mexico,Hidalgo,Ixmiquilpan,20.4819,-99.2181
United States,California,Vista,33.1896,-117.2386
Brazil,Goiás,Caldas Novas,-17.7439,-48.6258
Spain,Catalonia,San Cugat del Vallés,41.4667,2.0833
Spain,Madrid,Las Rozas de Madrid,40.4917,-3.8733
Japan,Fukuoka,Itoshima,33.5539,130.1978
India,Gujarāt,Mahuva,21.0833,71.8
Philippines,Iloilo,Oton,10.6931,122.4736
Brazil,Amazonas,Manacapuru,-3.2997,-60.6206
Morocco,Rabat-Salé-Kénitra,Ain El Aouda,33.8111,-6.7922
Hungary,Sopron,Sopron,47.6849,16.5831
Turkmenistan,Lebap,Koytendag,37.5,66
Turkey,Osmaniye,Kadirli,37.3697,36.1
Brazil,Pernambuco,Abreu e Lima,-7.9117,-34.9028
Canada,Alberta,Lethbridge,49.6942,-112.8328
Japan,Ibaraki,Chikusei,36.3071,139.9831
Mexico,Michoacán,Pátzcuaro,19.5164,-101.6097
Japan,Kagoshima,Kanoya,31.3783,130.8522
Italy,Marche,Ancona,43.6167,13.5167
Spain,Murcia,Lorca,37.6798,-1.6944
Russia,Samarskaya Oblast’,Novokuybyshevsk,53.1,49.9333
Japan,Nagano,Saku,36.2488,138.4769
Brazil,Pernambuco,Santa Cruz do Capibaribe,-7.9573,-36.2047
Ecuador,Los Ríos,Babahoyo,-1.8167,-79.5167
Russia,Moskovskaya Oblast’,Sergiyev Posad,56.315,38.1367
Philippines,Cotabato,M’lang,6.95,124.88
France,Île-de-France,Nanterre,48.8988,2.1969
Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Río Grande,-53.7833,-67.7
Belgium,Flanders,Moortebeek,50.8547,4.3386
Japan,Hokkaidō,Chitose,42.8167,141.65
Moldova,Bălţi,Bălţi,47.7667,27.9167
Serbia,Smederevo,Smederevo,44.6633,20.9289
India,Uttarākhand,Rāmnagar,29.395,79.1264
Argentina,Chubut,Trelew,-43.25,-65.3
Canada,British Columbia,Kamloops,50.6761,-120.3408
Jamaica,Saint James,Montego Bay,18.4667,-77.9167
Philippines,Northern Samar,Catarman,12.4994,124.6328
Brazil,Bahia,Valença,-13.3703,-39.0731
Canada,Quebec,Saint-Jean-sur-Richelieu,45.3167,-73.2667
Belarus,Minskaya Voblasts’,Salihorsk,52.8,27.5333
Turkey,Muğla,Marmaris,36.85,28.2667
Italy,Friuli Venezia Giulia,Udine,46.0667,13.2333
Nepal,Madhesh,Janakpur,26.7122,85.9217
China,Guangdong,Nanxicun,23.4975,116.2436
Brazil,São Paulo,Paulínia,-22.7611,-47.1542
Pakistan,Sindh,Kambar,27.9833,68.65
Morocco,Drâa-Tafilalet,Errachidia,31.9319,-4.4244
Egypt,Ad Daqahlīyah,Al Jammālīyah,31.1806,31.865
Brazil,Minas Gerais,Itaúna,-20.075,-44.5758
Brazil,Pernambuco,Ipojuca,-8.3989,-35.0639
Angola,Cuanza-Sul,Quilenda,-10.6333,14.3333
Ethiopia,Gambēla Hizboch,Gambēla,8.25,34.5833
Greece,Attikí,Kallithéa,37.95,23.7
India,Mahārāshtra,Deoni Buzurg,18.2639,77.0822
Paraguay,Central,Mariano Roque Alonso,-25.2079,-57.532
Japan,Okayama,Tsuyama,35.0692,134.0044
Taiwan,Nantou,Nantou,23.9167,120.6833
United States,Oregon,Beaverton,45.4779,-122.8168
Philippines,Sultan Kudarat,Isulan,6.63,124.6
India,Andhra Pradesh,Kallūru,15.8344,78.0292
Estonia,Tartu,Tartu,58.38,26.7225
Japan,Aichi,Kōnan,35.3321,136.8707
Brazil,Rio Grande do Sul,Lajeado,-29.4669,-51.9614
Benin,Ouémé,Adjarra,6.5333,2.6667
"Korea, South",Gyeonggi,Dongducheon,37.9167,127.0667
Morocco,Béni Mellal-Khénifra,Al Fqih Ben Çalah,32.5,-6.5333
Czechia,Jihočeský Kraj,České Budějovice,48.9747,14.4747
Pakistan,Punjab,Attock Khurd,33.7667,72.3667
China,Anhui,Fanyang,31.1006,118.1876
United States,Virginia,Portsmouth,36.8468,-76.354
Bolivia,Tarija,Yacuiba,-22.0153,-63.6772
Bulgaria,Pernik,Pernik,42.6,23.033
Italy,Puglia,Andria,41.2317,16.3083
Brazil,Minas Gerais,Pará de Minas,-19.86,-44.6078
Israel,Central,Modi‘in Makkabbim Re‘ut,31.9339,34.9856
United States,Utah,Orem,40.2981,-111.6994
Japan,Fukuoka,Munakata,33.8056,130.5408
Russia,Kurskaya Oblast’,Zheleznogorsk,52.3333,35.3667
United States,New Jersey,Toms River,39.9895,-74.1654
Pakistan,Balochistan,Harnai,30.1,67.9378
Turkey,Aydın,Didim,37.3756,27.2678
El Salvador,La Libertad,Colón,13.7167,-89.3667
South Africa,Northern Cape,Kimberley,-28.7383,24.7639
United States,Texas,Conroe,30.3238,-95.4824
Peru,Tumbes,Tumbes,-3.5708,-80.4597
Algeria,Oran,Es Senia,35.65,-0.6333
India,Tamil Nādu,Bodināyakkanūr,10.0101,77.3511
Uzbekistan,Farg‘ona,Quvasoy,40.3,71.9667
Uzbekistan,Toshkent,Bekobod,40.2167,69.2167
Burma,Chin State,Paletwa,21.3,92.85
Ukraine,Khmelnytska Oblast,Kamianets-Podilskyi,48.6833,26.5833
Taiwan,Nantou,Caotun,23.983,120.7326
Mexico,San Luis Potosí,Tamazunchale,21.2667,-98.7833
Colombia,Arauca,Arauca,7.0903,-70.7617
Honduras,Atlántida,Tela,15.7825,-87.4514
Mexico,Tabasco,Paraíso,18.3961,-93.2128
Iran,Kohgīlūyeh va Bowyer Aḩmad,Do Gonbadān,30.36,50.7839
Turkmenistan,Lebap,Atamyrat,37.8531,65.2369
Iran,Fārs,Kāzerūn,29.6156,51.6567
Brazil,Paraná,Francisco Beltrão,-26.0808,-53.055
Ecuador,Pichincha,Sangolquí,-0.3344,-78.4475
Japan,Nagano,Iida,35.515,137.8214
United States,Virginia,Suffolk,36.6953,-76.6398
Brazil,São Paulo,Votuporanga,-20.4228,-49.9728
United States,Florida,Sunrise,26.1547,-80.2997
Morocco,Casablanca-Settat,Ad Darwa,33.4167,-7.5333
Chile,Región Metropolitana,Buin,-33.7333,-70.7333
Tunisia,Ben Arous,Ben Arous,36.7472,10.3333
Algeria,Alger,Bab Ezzouar,36.7217,3.1853
United Kingdom,Oldham,Oldham,53.5444,-2.1169
Taiwan,Hsinchu,Zhudong,24.7366,121.0916
Jamaica,Saint Andrew,Half Way Tree,18.0106,-76.7847
United Kingdom,Birmingham,Sutton Coldfield,52.563,-1.822
Kosovo,Pejë,Pejë,42.66,20.2922
Spain,Extremadura,Cáceres,39.4833,-6.3667
China,Xinjiang,Wujiaqu,44.167,87.543
India,Karnātaka,Harihar,14.5129,75.8072
Indonesia,Sulawesi Utara,Tomohon,1.325,124.8389
United States,Kansas,Lawrence,38.9597,-95.2642
Brazil,Amazonas,Parintins,-2.6278,-56.7358
United States,California,Arden-Arcade,38.6017,-121.3845
Croatia,Osječko-Baranjska Županija,Osijek,45.5603,18.6703
Brazil,Mato Grosso do Sul,Corumbá,-19.0089,-57.6528
Italy,Tuscany,Arezzo,43.4631,11.8781
Slovenia,Maribor,Maribor,46.55,15.6333
United States,Arizona,Prescott Valley,34.598,-112.3185
Uganda,Mbale,Mbale,1.0806,34.175
China,Beijing,Doudian,39.6503,116.0617
Russia,Kemerovskaya Oblast’,Mezhdurechensk,53.6864,88.0703
Philippines,Negros Occidental,Escalante,10.83,123.5
Brazil,Sergipe,Itabaiana,-10.685,-37.4253
South Africa,Eastern Cape,Mthatha,-31.5886,28.79
Afghanistan,Parwān,Chārīkār,35.0131,69.1689
Turkey,Şanlıurfa,Harran,36.8708,39.025
Russia,Udmurtiya,Votkinsk,57.05,54
Hungary,Fejér,Székesfehérvár,47.191,18.4108
Pakistan,Azad Kashmir,Muzaffarabad,34.3583,73.4722
United Kingdom,Hammersmith and Fulham,Hammersmith,51.4928,-0.2229
India,Mahārāshtra,Amalner,21.05,75.05
Philippines,Batangas,Balayan,13.93,120.73
India,Rājasthān,Sardārshahr,28.4401,74.4908
Poland,Wielkopolskie,Kalisz,51.7575,18.08
Morocco,Tanger-Tétouan-Al Hoceïma,Martil,35.6167,-5.2667
United States,Ohio,Middletown,39.5033,-84.3659
China,Guangdong,Longkeng,23.9824,112.2149
Germany,Baden-Württemberg,Esslingen,48.7333,9.3167
China,Shanxi,Longquan,40.3703,113.7483
United States,New York,Greece,43.246,-77.6988
South Africa,Gauteng,Vanderbijlpark,-26.6992,27.8356
Brazil,Rondônia,Vilhena,-12.7406,-60.1458
Argentina,Santa Cruz,Río Gallegos,-51.6233,-69.2161
China,Yunnan,Weiyuan,23.4683,100.6835
Argentina,Buenos Aires,Caseros,-34.6106,-58.5625
Italy,Emilia-Romagna,Cesena,44.1333,12.2333
Germany,North Rhine-Westphalia,Witten,51.4333,7.3333
Brazil,Bahia,Pôrto Seguro,-16.45,-39.065
Belarus,Vitsyebskaya Voblasts’,Navapolatsk,55.5333,28.65
India,West Bengal,Dhuliān,24.681,87.954
Israel,Haifa,Hadera,32.45,34.9167
Pakistan,Punjab,Arifwala,30.2981,73.0561
Puerto Rico,Puerto Rico,San Germán,18.0827,-67.046
United States,Oklahoma,Edmond,35.6689,-97.416
Brazil,Sergipe,São Cristóvão,-11.015,-37.2058
India,Punjab,Zerakpur,30.65,76.82
India,Uttar Pradesh,Tandwa,26.55,82.65
Ethiopia,Tigray,Shirē,14.1,38.2833
Japan,Ibaraki,Kamisu,35.8899,140.6645
Turkey,Ankara,Çubuk,40.2386,33.0331
Turkey,Burdur,Burdur,37.7194,30.2833
Colombia,Valle del Cauca,Candelaria,3.4,-76.3833
Italy,Marche,Pesaro,43.9102,12.9133
United States,California,Tracy,37.7269,-121.4523
United States,California,Manteca,37.7927,-121.2264
India,Tamil Nādu,Tiruchengodu,11.379,77.8949
Belgium,Wallonia,Mons,50.4547,3.9525
Vietnam,Thừa Thiên-Huế,Hương Thủy,16.4,107.6889
India,Andhra Pradesh,Pedagādi,17.6615,83.2104
France,Île-de-France,Vitry-sur-Seine,48.7875,2.3928
China,Heilongjiang,Boli,45.7564,130.5759
India,Uttar Pradesh,Nagīna,29.443,78.433
Cameroon,Extrême-Nord,Bogo,10.734,14.608
Haiti,Artibonite,Saint-Michel de l’Atalaye,19.3708,-72.3347
India,West Bengal,Chākdaha,23.08,88.52
Japan,Shizuoka,Shimada,34.8363,138.1927
India,Karnātaka,Closepet,12.723,77.286
China,Yunnan,Jiantang,27.8333,99.7
India,Andhra Pradesh,Emmiganūr,15.7333,77.4833
India,Andhra Pradesh,Yalamakūru,15.5103,77.5249
Philippines,Cebu,Balamban,10.47,123.78
Honduras,Comayagua,Siguatepeque,14.5978,-87.8353
Malaysia,Labuan,Labuan,5.2803,115.2475
Morocco,Rabat-Salé-Kénitra,Sidi Slimane,34.2167,-5.7
Azerbaijan,Naxçıvan,Naxçıvan,39.2089,45.4122
Tanzania,Lindi,Lindi,-9.9969,39.7144
Iraq,Arbīl,Rawānduz,36.6121,44.5237
Colombia,Valle del Cauca,Yumbo,3.585,-76.4958
India,Tamil Nādu,Vāniyambādi,12.6825,78.6167
United States,Tennessee,Kingsport,36.5224,-82.5454
Pakistan,Punjab,Mianwali,32.5853,71.5436
China,Hunan,Dongping,28.3817,111.2194
China,Hunan,Meizichong,28.1419,111.6444
India,Punjab,Nābha,30.37,76.15
Iraq,Al Anbār,Nāḩiyat al Karmah,33.3997,43.9089
Germany,Hesse,Gießen,50.5833,8.6667
Dominican Republic,Cibao Norte,Moca,19.3833,-70.5167
Mexico,Aguascalientes,Rincón de Romos,22.2333,-102.3167
Indonesia,Sumatera Utara,Sibolga,1.74,98.78
Spain,Madrid,San Sebastián de los Reyes,40.5469,-3.6258
Colombia,Córdoba,Cereté,8.8833,-75.8
United Kingdom,Hertfordshire,Hemel Hempstead,51.7526,-0.4692
Chile,Región Metropolitana,San Ramón,-33.5333,-70.6417
Guatemala,Chimaltenango,San Martín Jilotepeque,14.7833,-90.8
Côte d’Ivoire,Zanzan,Bouna,9.2667,-3
Poland,Dolnośląskie,Legnica,51.2083,16.1603
India,Jammu and Kashmīr,Kangan,34.263,74.903
Germany,Baden-Württemberg,Ludwigsburg,48.8975,9.1922
Colombia,Norte de Santander,Los Patios,7.8333,-72.5167
Germany,Thuringia,Gera,50.8806,12.0833
United States,New Hampshire,Portsmouth,43.058,-70.7826
Spain,Valencia,Torrevieja,37.9778,-0.6833
Italy,Puglia,Lecce,40.352,18.1691
Brazil,Pará,Itaituba,-4.2758,-55.9839
United States,Utah,Sandy,40.5709,-111.8506
Iran,Māzandarān,Behshahr,36.6936,53.5531
Japan,Iwate,Hanamaki Onsen,39.3886,141.1169
Philippines,Quezon,Lopez,13.884,122.2604
Congo (Kinshasa),Kinshasa,Lingwala,-4.3203,15.2983
India,Uttar Pradesh,Bhadohi,25.42,82.57
Japan,Tochigi,Kanuma,36.5671,139.7451
Kosovo,Gjakovë,Gjakovë,42.3803,20.4308
Chile,Región Metropolitana,San Joaquín,-33.4792,-70.6413
Philippines,Tarlac,Gerona,15.6069,120.5986
India,Tamil Nādu,Allinagaram,10.0119,77.4786
China,Inner Mongolia,Bayan Hot,38.8556,105.7001
Netherlands,Noord-Holland,Amstelveen,52.3,4.85
Canada,Ontario,Niagara Falls,43.06,-79.1067
Argentina,Buenos Aires,Villa Luzuriaga,-34.6667,-58.5833
India,Goa,Vāsco Da Gāma,15.3981,73.8111
India,Goa,Marmagao,15.4,73.8
United States,Florida,Palm Coast,29.5389,-81.2457
China,Yunnan,Pingyuanjie,23.7475,103.7525
Japan,Niigata,Shibata,37.9479,139.3273
Sweden,Västerbotten,Umeå,63.8285,20.2706
United States,Louisiana,Slidell,30.2887,-89.7828
Bulgaria,Haskovo,Haskovo,41.933,25.567
Japan,Hyōgo,Ashiya,34.7278,135.3033
China,Shandong,Yishui,35.7904,118.62
China,Hebei,Yi Xian,39.3537,115.496
United Kingdom,Bath and North East Somerset,Bath,51.3814,-2.3597
Zimbabwe,Mashonaland East,Ruwa,-17.8897,31.2447
United States,California,San Marcos,33.135,-117.1743
China,Jiangsu,Zhoujiajing,31.1128,121.0503
Brazil,Bahia,Simões Filho,-12.7839,-38.4039
United States,Michigan,Livonia,42.3972,-83.3733
United States,New Mexico,Santa Fe,35.6619,-105.9819
United States,Florida,Plantation,26.1259,-80.2617
Israel,Tel Aviv,Herẕliyya,32.1556,34.8422
Turkey,Konya,Akşehir,38.3575,31.4164
United States,New York,Greenburgh,41.033,-73.8412
Brazil,Mato Grosso do Sul,Ponta Porã,-22.5361,-55.7256
Philippines,Davao de Oro,Monkayo,7.8239,126.0536
United Kingdom,Hillingdon,Hayes,51.5127,-0.4211
Brazil,Alagoas,Rio Largo,-9.4778,-35.8528
Japan,Nagano,Azumino,36.3039,137.9058
United States,Texas,Atascocita,29.9777,-95.1953
India,Madhya Pradesh,Dhār,22.5972,75.3042
Czechia,Královéhradecký Kraj,Hradec Králové,50.2092,15.8322
Malta,Qormi,Qormi,35.8794,14.4722
Turkey,Şanlıurfa,Birecik,37.025,37.9769
Portugal,Porto,Valongo,41.1833,-8.5
Brazil,São Paulo,Mairiporã,-23.3189,-46.5869
Iran,Qazvīn,Alvand,36.1867,50.0639
China,Guangdong,Lingtang,23.6032,113.074
Guatemala,Huehuetenango,Chiantla,15.35,-91.45
Morocco,Béni Mellal-Khénifra,Oued Zem,32.8667,-6.5667
United States,Massachusetts,Fall River,41.7136,-71.1015
Indonesia,Aceh,Simeulu,2.63,96.09
Egypt,Al Gharbīyah,Ziftá,30.7119,31.2394
Canada,Nova Scotia,Cape Breton,46.1389,-60.1931
United Arab Emirates,Al Fujayrah,Al Fujayrah,25.1222,56.3344
Japan,Niigata,Sanjō,37.6368,138.9617
Spain,Andalusia,San Fernando,36.4667,-6.2
Germany,Baden-Württemberg,Tübingen,48.52,9.0556
United States,California,Compton,33.893,-118.2274
United States,California,Carson,33.8374,-118.2559
Philippines,Cebu,Daanbantayan,11.25,124
Japan,Tōkyō,Inagi,35.6379,139.5046
Ukraine,Luhanska Oblast,Lysychansk,48.9167,38.4
Germany,North Rhine-Westphalia,Düren,50.8,6.4833
Spain,Andalusia,Mijas,36.6,-4.6333
China,Zhejiang,Wangjia,30.5939,120.7795
Japan,Saitama,Yashio,35.8225,139.8392
China,Yunnan,Jinbi,25.7086,101.3368
Japan,Chiba,Yotsukaidō,35.6698,140.1679
Canada,British Columbia,Chilliwack,49.1577,-121.9509
Russia,Sverdlovskaya Oblast’,Serov,59.6,60.5667
Mexico,Oaxaca,Santa Cruz Xoxocotlán,17.0264,-96.7333
Philippines,Batangas,Lemery,13.881,120.9127
Philippines,Sulu,Indanan,6,120.97
United States,Wisconsin,La Crosse,43.8241,-91.2268
Romania,Vâlcea,Râmnicu Vâlcea,45.1047,24.3756
China,Guangdong,Fenggang,23.6283,116.5718
Sri Lanka,Southern,Galle,6.0328,80.2156
India,Karnātaka,Dod Ballāpur,13.292,77.543
Brazil,Minas Gerais,Itajubá,-22.4258,-45.4528
United Kingdom,Darlington,Darlington,54.527,-1.5526
Argentina,Buenos Aires,Ciudad General Belgrano,-34.7167,-58.5333
Argentina,Santa Fe,Rafaela,-31.2667,-61.4833
United States,Montana,Missoula,46.8751,-114.0214
Nigeria,Taraba,Wukari,7.8704,9.78
Brazil,Rio Grande do Sul,Guaíba,-30.1139,-51.325
Brazil,Rio de Janeiro,Barra do Piraí,-22.47,-43.8258
France,Île-de-France,Créteil,48.7911,2.4628
Philippines,Sultan Kudarat,Palimbang,6.22,124.2
Japan,Aichi,Nisshin,35.132,137.0394
Côte d’Ivoire,Savanes,Boundiali,9.5167,-6.4833
Chile,Región Metropolitana,La Reina,-33.45,-70.55
United Kingdom,Merton,Wimbledon,51.422,-0.208
Indonesia,Kalimantan Barat,Ketapang,-1.85,109.9833
United States,Missouri,O'Fallon,38.785,-90.7175
Sudan,South Kordofan,Kadugli,11.01,29.7
Germany,Schleswig-Holstein,Flensburg,54.7819,9.4367
United States,South Carolina,Mount Pleasant,32.8537,-79.8203
Turkey,Yozgat,Yozgat,39.8208,34.8083
India,Mahārāshtra,Akot,21.1,77.06
Algeria,Tamanrasset,Tamanrasset,22.7889,5.5256
Netherlands,Noord-Brabant,Helmond,51.4797,5.6556
China,Qinghai,Rongwo,35.5161,102.0183
Philippines,Occidental Mindoro,Sablayan,12.8428,120.775
"Korea, South",Jeonnam,Naju,35.0333,126.7167
United States,Georgia,Roswell,34.0391,-84.3513
Netherlands,Noord-Brabant,Oss,51.7667,5.5167
Italy,Puglia,Barletta,41.3167,16.2833
United Kingdom,Bedford,Bedford,52.135,-0.47
Germany,North Rhine-Westphalia,Iserlohn,51.3833,7.6667
United States,Alabama,Hoover,33.3763,-86.8068
Czechia,Pardubický Kraj,Pardubice,50.0386,15.7792
Indonesia,Banten,Tatakan,-6.1116,106.1036
Japan,Iwate,Kitakami,39.2867,141.1132
United States,South Carolina,Florence,34.178,-79.7898
Greece,Kentrikí Makedonía,Kalamariá,40.5833,22.95
Russia,Kemerovskaya Oblast’,Leninsk-Kuznetskiy,54.6575,86.1617
Brazil,Pernambuco,Serra Talhada,-7.9858,-38.2958
India,West Bengal,Contai,21.78,87.75
Philippines,Pangasinan,Santa Barbara,16.0031,120.4008
Japan,Aichi,Ōbu,35.0117,136.9637
Mexico,Puebla,Teziutlan,19.8178,-97.3667
Mexico,Veracruz,Coatepec,19.4522,-96.9614
Italy,Liguria,La Spezia,44.108,9.8289
India,Punjab,Kot Kapūra,30.5833,74.9
China,Hebei,Wuji,38.179,114.9763
Bangladesh,Mymensingh,Netrakona,24.8835,90.729
United States,Virginia,Williamsburg,37.2693,-76.7076
Morocco,Marrakech-Safi,Sa’ada,31.621,-8.1303
United Kingdom,Brighton and Hove,Hove,50.8352,-0.1758
Brazil,Acre,Cruzeiro do Sul,-7.6308,-72.67
Japan,Kagoshima,Satsumasendai,31.8133,130.3039
Pakistan,Khyber Pakhtunkhwa,Shabqadar,34.2054,71.5833
Brazil,Paraná,Pato Branco,-26.2289,-52.6708
United States,California,South Gate,33.9447,-118.1926
Japan,Saitama,Higashi-Matsuyama,36.0422,139.3999
United States,New Jersey,Hamilton,40.2046,-74.6765
Kenya,Kakamega,Kakamega,0.2833,34.75
United States,California,Chino,33.9836,-117.6654
France,Provence-Alpes-Côte d’Azur,Avignon,43.95,4.8075
Turkmenistan,Balkan,Türkmenbaşy,40.0167,52.9667
Malaysia,Pahang,Raub,3.7927,101.8423
United States,Florida,Fort Myers,26.6194,-81.8302
Russia,Leningradskaya Oblast’,Gatchina,59.5833,30.1333
Saudi Arabia,Al Ḩudūd ash Shamālīyah,Ţurayf,31.6775,38.6531
United Kingdom,Sefton,Southport,53.6475,-3.0053
Benin,Atlantique,Ouidah,6.3667,2.0833
Bangladesh,Dhaka,Goalundo Ghāt,23.7241,89.765
Benin,Borgou,Sinendé,10.3447,2.3792
China,Shanxi,Linquan,37.9513,110.9877
Vietnam,Phú Thọ,Phú Thọ,21.4003,105.2225
United States,Washington,Kirkland,47.697,-122.2057
Mali,Ségou,Niono,14.25,-6
South Africa,Eastern Cape,Grahamstown,-33.2996,26.52
Burma,Mandalay,Myingyan,21.46,95.3883
United States,California,Santa Monica,34.0235,-118.481
Canada,Quebec,Brossard,45.4667,-73.45
Romania,Satu Mare,Satu Mare,47.79,22.89
Iran,Āz̄arbāyjān-e Gharbī,Pīrānshahr,36.6956,45.1456
Chad,Batha,Yao,12.8508,17.5608
Egypt,Al Minyā,Samālūţ,28.3122,30.71
Turkey,Kars,Kars,40.6078,43.0958
Indonesia,Jawa Barat,Cisauk,-6.3333,106.65
Ethiopia,YeDebub M‘irab Ītyop’iya Hizboch,Mīzan Teferī,7,35.5833
Algeria,Oran,Arzew,35.85,-0.3167
United States,New Jersey,Vineland,39.4653,-74.9981
United States,Connecticut,Norwalk,41.1144,-73.4215
Dominican Republic,Valdesia,Azua,18.46,-70.74
Mexico,México,San José del Rincón Centro,19.6606,-100.1525
Philippines,Sultan Kudarat,Salaman,6.6333,124.0667
Czechia,Ústecký Kraj,Ústí nad Labem,50.6583,14.0417
India,Gujarāt,Māndvi,22.8333,69.3556
Argentina,Buenos Aires,San Francisco Solano,-34.7667,-58.3167
Brazil,Pará,Tucuruí,-3.7678,-49.6728
Kenya,Homa Bay,Kendu Bay,-0.3596,34.64
Netherlands,Noord-Holland,Hilversum,52.2333,5.1667
India,Andhra Pradesh,Rāyachoti,14.0583,78.7517
Brazil,São Paulo,Avaré,-23.0989,-48.9258
India,Andhra Pradesh,Pāloncha,17.6018,80.7051
Brazil,Minas Gerais,Manhuaçu,-20.2581,-42.0336
Brazil,São Paulo,Caçapava,-23.1008,-45.7069
Indonesia,Jawa Timur,Pamekasan,-7.1574,113.4718
China,Guangdong,Xiancun,23.2374,116.3152
Italy,Piedmont,Alessandria,44.9133,8.62
Madagascar,Antananarivo,Ambohimangakely,-18.8998,47.5931
United Kingdom,East Sussex,Hastings,50.85,0.57
Mexico,Sonora,Agua Prieta,31.3258,-109.5489
Canada,British Columbia,Maple Ridge,49.2167,-122.6
India,Mahārāshtra,Parli Vaijnāth,18.85,76.53
Poland,Kujawsko-Pomorskie,Grudziądz,53.4875,18.755
United States,Florida,Alafaya,28.528,-81.1868
Zambia,North-Western,Solwezi,-12.1433,26.3858
Angola,Benguela,Caimbambo,-12.9,14.0833
Philippines,Batangas,Bauan,13.7917,121.0085
India,Tamil Nādu,Sivaganga,9.8433,78.4809
Zimbabwe,Mashonaland West,Chinhoyi,-17.3497,30.1944
Philippines,Davao de Oro,Pantukan,7.1269,125.8975
Philippines,Davao de Oro,Pongotan,7.1269,125.8975
India,Odisha,Rāmagiri Udayagiri,19.1619,84.144
Angola,Cuanza-Norte,Cambambe,-9.7586,14.5122
China,Yunnan,Mengdingjie,23.55,99.0833
France,Île-de-France,Colombes,48.9236,2.2522
Colombia,Cundinamarca,Funza,4.7167,-74.2167
United States,Oklahoma,Lawton,34.6175,-98.4202
Kazakhstan,Ulytaū,Zhezqazghan,47.7833,67.7
United States,Arizona,Avondale,33.3873,-112.3235
Côte d’Ivoire,Vallée du Bandama,Katiola,8.1333,-5.1
Uzbekistan,Samarqand,Kattaqo’rg’on Shahri,39.8989,66.2561
Turkey,Çankırı,Çankırı,40.5986,33.6192
Iran,Kermānshāh,Eslāmābād-e Gharb,34.1103,46.5275
Zambia,Copperbelt,Chililabombwe,-12.3667,27.8278
Armenia,Lorri,Vanadzor,40.8128,44.4883
United States,Maryland,Germantown,39.1755,-77.2643
Colombia,Magdalena,Fundación,10.5214,-74.1867
India,Kerala,Ponnāni,10.77,75.9
Colombia,Córdoba,Sahagún,8.95,-75.45
Russia,Tambovskaya Oblast’,Michurinsk,52.8833,40.4833
Colombia,Córdoba,Montelíbano,7.975,-75.4208
Turkey,Şanlıurfa,Ceylanpınar,36.8461,40.0489
India,Jhārkhand,Jāmtāra,23.9633,86.8014
United States,South Dakota,Rapid City,44.0716,-103.2204
Cyprus,Lárnaka,Larnaca,34.9167,33.6333
Brazil,Pernambuco,São Lourenço da Mata,-8.0019,-35.0178
Uzbekistan,Sirdaryo,Guliston,40.4833,68.7833
Philippines,Oriental Mindoro,Pinamalayan,13.0364,121.4889
United Kingdom,Bromley,Orpington,51.3741,0.0986
Serbia,Valjevo,Valjevo,44.2708,19.8866
China,Hebei,Julu,37.2075,115.0233
Turkey,Samsun,Vezirköprü,41.1431,35.46
Australia,Western Australia,Mandurah,-32.5289,115.7231
United Kingdom,Hertfordshire,Watford,51.655,-0.3957
Zimbabwe,Masvingo,Masvingo,-20.0744,30.8328
Brazil,Minas Gerais,São João del Rei,-21.1358,-44.2619
Japan,Shizuoka,Yoshiwara,35.1633,138.6866
